"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS12",1.80631654516491e-144,0.735024787572636,1,0.991,2.47718251003916e-140,"0","RPS12"
"RPS6",7.13589988501507e-142,0.67986218264701,1,0.995,9.78617310230966e-138,"0","RPS6"
"RPS27",5.25782036312759e-140,0.720781866851247,0.999,0.992,7.21057484599317e-136,"0","RPS27"
"RPL32",4.22958179396478e-136,0.611551469147911,0.999,0.995,5.80044847224329e-132,"0","RPL32"
"RPS14",1.79901929153539e-130,0.619918265479703,1,0.994,2.46717505641164e-126,"0","RPS14"
"RPS25",5.50729809745179e-123,0.744249135679358,0.997,0.975,7.55270861084538e-119,"0","RPS25"
"RPS3",1.41244992632302e-117,0.609486553152093,1,0.994,1.93703382895939e-113,"0","RPS3"
"RPL9",3.65762347054444e-117,0.744311163203346,0.994,0.971,5.01606482750464e-113,"0","RPL9"
"RPL13",7.36876685036693e-117,0.565175059974385,1,0.996,1.01055268585932e-112,"0","RPL13"
"RPL31",2.74696079080895e-116,0.739659354006855,0.996,0.964,3.76718202851539e-112,"0","RPL31"
"RPL3",6.39878170311681e-113,0.60902945557245,0.997,0.995,8.7752892276544e-109,"0","RPL3"
"RPL21",3.60975551853485e-111,0.670441383223151,0.997,0.991,4.95041871811869e-107,"0","RPL21"
"RPS3A",3.8602495785539e-110,0.779372622396776,0.99,0.977,5.29394627202882e-106,"0","RPS3A"
"RPL30",8.61536796160045e-110,0.66752802730713,0.997,0.98,1.18151156225389e-105,"0","RPL30"
"LDHB",1.74095718368189e-109,1.06916576423144,0.897,0.593,2.38754868170134e-105,"0","LDHB"
"RPS15A",1.39476719792003e-105,0.62676741262404,0.997,0.983,1.91278373522752e-101,"0","RPS15A"
"RPLP2",4.36398859366939e-103,0.59478649380765,1,0.99,5.98477395735819e-99,"0","RPLP2"
"RPS27A",2.67463381970911e-101,0.746892310263025,0.994,0.966,3.66799282034908e-97,"0","RPS27A"
"EEF1A1",1.7597795298355e-98,0.52707940394418,0.994,0.991,2.41336164721641e-94,"0","EEF1A1"
"MALAT1",6.43435036053102e-98,0.683483011503743,1,0.999,8.82406808443225e-94,"0","MALAT1"
"RPL13A",1.92784220068804e-92,0.473829835773514,1,0.999,2.64384279402357e-88,"0","RPL13A"
"RPS18",2.02677596542243e-92,0.512718167358837,1,0.996,2.77952055898032e-88,"0","RPS18"
"RPS13",2.31674563838378e-92,0.672397546229798,0.982,0.963,3.17718496847952e-88,"0","RPS13"
"RPL27A",4.3227734566543e-92,0.533438370402235,0.999,0.988,5.9282515184557e-88,"0","RPL27A"
"RPL11",6.44832247419449e-90,0.458760190698781,1,0.995,8.84322944111032e-86,"0","RPL11"
"RPL35A",1.42484447394404e-89,0.562252892539054,0.997,0.981,1.95403171156685e-85,"0","RPL35A"
"RPS29",5.05613805024506e-89,0.744481257822649,0.987,0.905,6.93398772210608e-85,"0","RPS29"
"RPS28",7.81088907991007e-89,0.626343044934486,0.989,0.969,1.07118532841887e-84,"0","RPS28"
"RPL23A",1.15859392045915e-87,0.56591469961737,1,0.988,1.58889570251768e-83,"0","RPL23A"
"RPS23",9.56324442228313e-86,0.569685213637964,0.997,0.977,1.31150334007191e-81,"0","RPS23"
"CCR7",1.16763171302843e-83,1.33350348771953,0.435,0.108,1.60129013124718e-79,"0","CCR7"
"TPT1",2.21012594119011e-82,0.587868100317039,0.996,0.982,3.03096671574811e-78,"0","TPT1"
"RPS20",1.84443322836872e-81,0.667223666412161,0.987,0.942,2.52945572938486e-77,"0","RPS20"
"RPS4X",2.90355012852653e-79,0.511549871213824,0.997,0.992,3.98192864626128e-75,"0","RPS4X"
"CD3D",8.93945136307275e-79,0.954117607881569,0.838,0.403,1.2259563599318e-74,"0","CD3D"
"RPL5",5.56575800208309e-78,0.59585119466723,0.987,0.969,7.63288052405675e-74,"0","RPL5"
"RPS16",6.98226076570158e-77,0.534288577519675,0.996,0.982,9.57547241408314e-73,"0","RPS16"
"RPL19",1.01765025920056e-68,0.380119573037142,0.999,0.993,1.39560556546764e-64,"0","RPL19"
"RPL10",3.42021150852189e-68,0.347922637742309,1,0.997,4.69047806278692e-64,"0","RPL10"
"RPSA",2.6395868583735e-66,0.56648846706319,0.987,0.948,3.61992941757342e-62,"0","RPSA"
"RPL10A",3.02521184927454e-66,0.499619869696275,0.99,0.985,4.1487755300951e-62,"0","RPL10A"
"RPS10",2.83775301357665e-61,0.529174661384299,0.987,0.969,3.89169448281901e-57,"0","RPS10"
"RPL14",4.89905513317746e-60,0.423253585272661,0.994,0.985,6.71856420963957e-56,"0","RPL14"
"RPS5",1.56979007769919e-59,0.49198158500305,0.99,0.975,2.15281011255667e-55,"0","RPS5"
"RPS15",1.81176065029041e-57,0.397021508418029,0.999,0.989,2.48464855580826e-53,"0","RPS15"
"RPLP0",1.57381442792987e-55,0.518417782135635,0.985,0.939,2.15832910646303e-51,"0","RPLP0"
"NPM1",2.55028288905811e-55,0.721980430971482,0.91,0.8,3.49745795405429e-51,"0","NPM1"
"RPL36",6.9418029171215e-55,0.518323178919656,0.985,0.949,9.51998852054043e-51,"0","RPL36"
"RPL18",1.35489843478142e-54,0.497070096861711,0.997,0.979,1.85810771345923e-50,"0","RPL18"
"CD3E",3.05316996392769e-53,0.848885345989926,0.722,0.399,4.18711728853044e-49,"0","CD3E"
"RPL4",4.12402718146853e-52,0.519872723541294,0.99,0.957,5.65569087666595e-48,"0","RPL4"
"LEF1",3.28414981390463e-49,1.05127513899923,0.333,0.103,4.50388305478881e-45,"0","LEF1"
"NOSIP",6.65603069607414e-49,0.98344370261445,0.623,0.358,9.12808049659607e-45,"0","NOSIP"
"RPL7",1.92161598470395e-48,0.546299841368899,0.977,0.967,2.63530416142299e-44,"0","RPL7"
"RPL22",1.16991045467811e-47,0.649289976213167,0.9,0.779,1.60441519754555e-43,"0","RPL22"
"RPL36A",3.28212033886302e-47,0.550486941509182,0.955,0.89,4.50109983271675e-43,"0","RPL36A"
"EEF1B2",1.92176747676769e-46,0.536261798668088,0.937,0.87,2.63551191763921e-42,"0","EEF1B2"
"RPS19",2.2398507603143e-46,0.35943717353112,0.997,0.992,3.07173133269504e-42,"0","RPS19"
"RPS8",6.1856934191696e-46,0.424275506619601,0.997,0.984,8.48305995504919e-42,"0","RPS8"
"RPS2",1.54803692114427e-45,0.317542190942716,1,0.995,2.12297783365726e-41,"0","RPS2"
"RPL18A",2.12558423969267e-45,0.31595888111424,0.999,0.992,2.91502622631453e-41,"0","RPL18A"
"PRKCQ-AS1",9.30852031186229e-44,1.02747399102726,0.328,0.11,1.2765704755688e-39,"0","PRKCQ-AS1"
"RPL17",1.02202822235349e-43,0.434237513792209,0.972,0.959,1.40160950413557e-39,"0","RPL17"
"JUNB",1.09384942049235e-43,0.699694247722978,0.913,0.904,1.50010509526321e-39,"0","JUNB"
"PIK3IP1",4.68867438844105e-43,0.945997160801447,0.435,0.184,6.43004805630805e-39,"0","PIK3IP1"
"TMEM66",2.60499550942666e-41,0.718101777277884,0.837,0.701,3.57249084162773e-37,"0","TMEM66"
"BTG1",1.5811866435665e-40,0.570376475754188,0.937,0.86,2.1684393629871e-36,"0","BTG1"
"GLTSCR2",3.49041784304003e-40,0.559708894750799,0.906,0.807,4.78675902994509e-36,"0","GLTSCR2"
"RPS26",9.64697835580781e-40,0.486017264393528,0.956,0.9,1.32298661171548e-35,"0","RPS26"
"CD7",1.6852395420687e-39,0.686043397313955,0.571,0.293,2.31113750799301e-35,"0","CD7"
"RPL35",5.26065381064659e-38,0.409762355619559,0.986,0.966,7.21446063592073e-34,"0","RPL35"
"RPL38",2.97738340447377e-37,0.50249576985796,0.94,0.876,4.08318360089533e-33,"0","RPL38"
"RPS21",6.50671662925996e-37,0.500825979535954,0.932,0.841,8.92331118536711e-33,"0","RPS21"
"IL7R",1.91762429468154e-36,0.734283748553169,0.598,0.331,2.62982995772626e-32,"0","IL7R"
"RPLP1",9.0839957026246e-36,0.298543427726399,1,0.996,1.24577917065794e-31,"0","RPLP1"
"RPL24",4.46717641409588e-35,0.404261620659574,0.976,0.944,6.12628573429108e-31,"0","RPL24"
"MAL",2.43826571055645e-33,0.932755213307279,0.262,0.087,3.34383759545712e-29,"0","MAL"
"RPL37",1.38808097751777e-32,0.412486453150334,0.983,0.943,1.90361425256788e-28,"0","RPL37"
"TCF7",1.95197922792086e-32,0.770680996738186,0.384,0.177,2.67694431317067e-28,"0","TCF7"
"RPL12",1.97263811685582e-31,0.271648496564953,1,0.989,2.70527591345608e-27,"0","RPL12"
"RPL37A",2.45561586123105e-30,0.358237824596726,0.982,0.946,3.36763159209226e-26,"0","RPL37A"
"RPS4Y1",1.76033671582013e-29,0.457394747478397,0.932,0.871,2.41412577207573e-25,"0","RPS4Y1"
"CD27",4.75221602869678e-29,0.59689824756153,0.394,0.183,6.51718906175477e-25,"0","CD27"
"RPL27",2.0670666613496e-28,0.34754195094716,0.973,0.952,2.83477521937484e-24,"0","RPL27"
"RPL34",2.11565877620754e-28,0.572371575855913,0.927,0.903,2.90141444569101e-24,"0","RPL34"
"C6orf48",6.36303291603229e-28,0.750732380934221,0.682,0.495,8.72626334104669e-24,"0","C6orf48"
"RPSAP58",4.02218251428304e-27,0.503444309078438,0.83,0.701,5.51602110008776e-23,"0","RPSAP58"
"RPL7A",4.61823425932309e-27,0.312202354914498,0.982,0.977,6.33344646323569e-23,"0","RPL7A"
"RPL15",7.33208084545504e-27,0.277529173664953,0.996,0.996,1.0055215671457e-22,"0","RPL15"
"LEPROTL1",3.16934798878567e-26,0.734114509835945,0.398,0.209,4.34644383182066e-22,"0","LEPROTL1"
"RPL6",3.44570249787728e-24,0.272880094197284,0.997,0.993,4.7254364055889e-20,"0","RPL6"
"LTB",1.21427949768303e-23,0.331591213862554,0.885,0.637,1.66526290312251e-19,"0","LTB"
"AES",1.49504218997676e-21,0.540663036377731,0.634,0.441,2.05030085933413e-17,"0","AES"
"RPS7",9.01201402633336e-21,0.262839589095496,0.996,0.987,1.23590760357136e-16,"0","RPS7"
"RGCC",1.0611338276305e-20,0.634267038834565,0.353,0.185,1.45523893121247e-16,"0","RGCC"
"TMEM123",1.3410102107733e-20,0.60335216331413,0.544,0.385,1.83906140305451e-16,"0","TMEM123"
"CD3G",1.64124795540539e-20,0.575913274094944,0.34,0.174,2.25080744604295e-16,"0","CD3G"
"GIMAP5",3.75673639629144e-20,0.588233466672217,0.411,0.24,5.15198829387409e-16,"0","GIMAP5"
"SELL",1.05973909970105e-19,0.403616391903471,0.599,0.426,1.45332620133002e-15,"0","SELL"
"FLT3LG",6.22729156425177e-19,0.710818610579597,0.273,0.136,8.54010765121487e-15,"0","FLT3LG"
"TOMM7",7.70712032180919e-19,0.432920635335832,0.83,0.76,1.05695448093291e-14,"0","TOMM7"
"LCK",1.6082193671221e-18,0.55702047074517,0.492,0.313,2.20551204007124e-14,"0","LCK"
"C12orf57",7.67119881143021e-18,0.737466951219818,0.416,0.259,1.05202820499954e-13,"0","C12orf57"
"HNRNPA1",1.40664356144395e-17,0.297090610494324,0.952,0.921,1.92907098016423e-13,"0","HNRNPA1"
"NDFIP1",7.50614779702314e-17,0.681441618952544,0.43,0.286,1.02939310888375e-12,"0","NDFIP1"
"RHOH",1.24082935433032e-16,0.641214807212575,0.359,0.21,1.7016733765286e-12,"0","RHOH"
"HINT1",2.8657651761315e-16,0.410124359150278,0.729,0.61,3.93011036254675e-12,"0","HINT1"
"DNAJB1",7.24178076361551e-16,0.67352312432645,0.394,0.255,9.93137813922231e-12,"0","DNAJB1"
"GYPC",9.05318021482294e-16,0.584247794577405,0.397,0.254,1.24155313466082e-11,"0","GYPC"
"TRAT1",2.92322936151736e-15,0.535550957405578,0.264,0.14,4.0089167463849e-11,"0","TRAT1"
"RGS10",3.12092424702291e-15,0.506488068848948,0.522,0.378,4.28003551236722e-11,"0","RGS10"
"EIF4A2",5.1779539841115e-15,0.463632409892627,0.733,0.607,7.10104609381051e-11,"0","EIF4A2"
"EEF1D",5.79698679342231e-14,0.27267623000514,0.962,0.968,7.94998768849936e-10,"0","EEF1D"
"RPL23",2.2286090478427e-13,0.308864552308002,0.895,0.844,3.05631444821148e-09,"0","RPL23"
"ZFP36L2",4.88216675577425e-13,0.430409248742908,0.733,0.623,6.69540348886881e-09,"0","ZFP36L2"
"TRAF3IP3",1.66289861271141e-12,0.583175721174823,0.561,0.454,2.28049915747243e-08,"0","TRAF3IP3"
"OCIAD2",1.80978085500991e-12,0.425972578773798,0.319,0.193,2.48193346456059e-08,"0","OCIAD2"
"COMMD6",1.83535901013892e-12,0.404026610031288,0.668,0.578,2.51701134650452e-08,"0","COMMD6"
"FYB",8.62993078202389e-12,0.406367616871609,0.456,0.338,1.18350870744676e-07,"0","FYB"
"EVL",9.09725499173148e-12,0.41558658726779,0.624,0.499,1.24759754956606e-07,"0","EVL"
"SRSF5",2.32397867991697e-11,0.277672842837759,0.785,0.715,3.18710436163813e-07,"0","SRSF5"
"PRDX2",6.77956216392668e-11,0.468589845065702,0.374,0.26,9.29749155160905e-07,"0","PRDX2"
"HSPA8",8.70347289773346e-11,0.331516522329045,0.752,0.647,1.19359427319517e-06,"0","HSPA8"
"PSIP1",9.00731918416885e-11,0.51641024042346,0.263,0.162,1.23526375291692e-06,"0","PSIP1"
"SLC2A3",1.15186594255391e-10,0.454517015326959,0.333,0.222,1.57966895361843e-06,"0","SLC2A3"
"GIMAP7",1.97496990695761e-10,0.31772166077882,0.619,0.511,2.70847373040166e-06,"0","GIMAP7"
"ACAP1",3.21848313352774e-10,0.597000164168698,0.388,0.271,4.41382776931994e-06,"0","ACAP1"
"PABPC1",3.63947494623521e-10,0.314192650125,0.879,0.854,4.99117594126697e-06,"0","PABPC1"
"SOD1",5.54077543121885e-10,0.422727506092716,0.585,0.486,7.59861942637353e-06,"0","SOD1"
"PEBP1",5.94107533671994e-10,0.374332020052982,0.464,0.351,8.14759071677772e-06,"0","PEBP1"
"CXCR4",9.99854745055359e-10,0.275728317907201,0.688,0.569,1.37120079736892e-05,"0","CXCR4"
"LAT",2.67373389586755e-09,0.398737608866567,0.297,0.191,3.66675866479276e-05,"0","LAT"
"JUN",2.90355759500861e-09,0.324597457658171,0.774,0.731,3.98193888579481e-05,"0","JUN"
"COX7C",3.34433350458366e-09,0.343797565634577,0.744,0.681,4.58641896818603e-05,"0","COX7C"
"ST13",5.8498977355323e-09,0.495995884208757,0.473,0.377,8.02254975450899e-05,"0","ST13"
"BTG2",7.62926959424297e-09,0.472185682033722,0.433,0.336,0.000104627803215448,"0","BTG2"
"SNRPD2",9.09244631357385e-09,0.362037731820968,0.629,0.547,0.000124693808744352,"0","SNRPD2"
"RSL1D1",9.83282593662659e-09,0.45401731280865,0.402,0.3,0.000134847374894897,"0","RSL1D1"
"CD69",9.86914354631174e-09,0.305640238317681,0.451,0.327,0.000135345434594119,"0","CD69"
"CYTIP",1.53830482481216e-08,0.268106528325612,0.419,0.314,0.00021096312367474,"0","CYTIP"
"DDX5",2.98642175720589e-08,0.267829347413258,0.855,0.799,0.000409557879783215,"0","DDX5"
"PPA1",9.28388421694885e-08,0.356885307186083,0.38,0.292,0.00127319188151237,"0","PPA1"
"NBEAL1",2.10964617683734e-07,0.265580820902587,0.736,0.667,0.00289316876691472,"0","NBEAL1"
"UXT",5.81629799527861e-07,0.335205425807949,0.467,0.388,0.00797647107072509,"0","UXT"
"EEF1G",1.85548030036808e-06,0.38821069214993,0.301,0.225,0.0254460568392479,"0","EEF1G"
"STK17A",3.20444312119399e-06,0.26221522953487,0.385,0.294,0.0439457329640544,"0","STK17A"
"CCDC109B",1.06153951745897e-05,0.450895537956656,0.38,0.307,0.145579529424323,"0","CCDC109B"
"EIF3E",1.26092232047309e-05,0.360668500117485,0.422,0.359,0.172922887029679,"0","EIF3E"
"SPOCK2",2.96580960288474e-05,0.309575722558309,0.264,0.189,0.406731128939613,"0","SPOCK2"
"RPL39",3.15604530741687e-05,0.418836860239155,0.325,0.256,0.43282005345915,"0","RPL39"
"MZT2B",6.94869815932132e-05,0.341025471664247,0.422,0.36,0.952944465569326,"0","MZT2B"
"SNHG8",8.48826729836557e-05,0.462105091378509,0.298,0.234,1,"0","SNHG8"
"TMA7",0.000103636301708821,0.301218201921776,0.719,0.656,1,"0","TMA7"
"CUTA",0.000121399967983381,0.343025466624198,0.477,0.42,1,"0","CUTA"
"CITED2",0.000502289914728179,0.331029406275254,0.269,0.214,1,"0","CITED2"
"TOMM20",0.000531138777485247,0.274358751341135,0.309,0.257,1,"0","TOMM20"
"MZT2A",0.000710554227645375,0.258828828715996,0.302,0.246,1,"0","MZT2A"
"CMPK1",0.000739072946267484,0.252177535174853,0.419,0.362,1,"0","CMPK1"
"SON",0.00236021341344446,0.308128614396666,0.345,0.304,1,"0","SON"
"SF1",0.002817297735977,0.265876268079005,0.34,0.294,1,"0","SF1"
"PCNP",0.0048576516734125,0.353141980796635,0.287,0.246,1,"0","PCNP"
"NDUFS5",0.00602359082937332,0.251829867692281,0.426,0.388,1,"0","NDUFS5"
"SEPT1",0.00736255142941623,0.355468664011811,0.263,0.222,1,"0","SEPT1"
"S100A9",0,5.57006278896292,0.996,0.215,0,"1","S100A9"
"S100A8",0,5.47739408166531,0.975,0.121,0,"1","S100A8"
"LGALS2",0,3.80048354645544,0.908,0.059,0,"1","LGALS2"
"FCN1",0,3.39421897193108,0.952,0.151,0,"1","FCN1"
"CD14",2.85658172201664e-294,2.8156264250662,0.667,0.028,3.91751617357362e-290,"1","CD14"
"TYROBP",3.19046703761863e-284,3.04679765155682,0.994,0.265,4.37540649539018e-280,"1","TYROBP"
"MS4A6A",3.72974829327653e-277,2.89359082202179,0.685,0.041,5.11497680939943e-273,"1","MS4A6A"
"CST3",5.53738800059458e-269,3.00978806877971,0.992,0.266,7.5939739040154e-265,"1","CST3"
"LYZ",1.07038384103218e-267,4.5494659573954,1,0.517,1.46792439959153e-263,"1","LYZ"
"TYMP",4.59302626697853e-240,2.59050459437328,0.919,0.222,6.29887622253435e-236,"1","TYMP"
"CFD",1.69244774144501e-233,2.33675105771673,0.787,0.106,2.32102283261769e-229,"1","CFD"
"LST1",3.25564485644243e-229,2.03381473660984,0.958,0.223,4.46479135612514e-225,"1","LST1"
"LGALS1",1.91436461468593e-228,2.58284459685435,0.979,0.365,2.62535963258028e-224,"1","LGALS1"
"AIF1",3.20247849163919e-227,2.27699161854537,0.958,0.245,4.39187900343399e-223,"1","AIF1"
"GSTP1",8.83479450988792e-217,2.47849346857419,0.944,0.352,1.21160371908603e-212,"1","GSTP1"
"GRN",1.52263039754865e-216,2.43183956431551,0.758,0.128,2.08813532719822e-212,"1","GRN"
"GPX1",1.0500795853428e-215,2.24021711151751,0.923,0.312,1.44007914333911e-211,"1","GPX1"
"FTL",4.97024517995623e-214,2.60208591953891,1,0.987,6.81619423979197e-210,"1","FTL"
"S100A6",7.17122454185281e-206,2.01832961477951,0.996,0.735,9.83461733669694e-202,"1","S100A6"
"FTH1",3.38421784524779e-200,2.19603462300809,1,0.987,4.64111635297281e-196,"1","FTH1"
"FCER1G",4.93618406813546e-194,1.82303694882052,0.94,0.229,6.76948283104096e-190,"1","FCER1G"
"CTSS",1.27159928756269e-184,2.12092613063314,0.944,0.429,1.74387126296348e-180,"1","CTSS"
"CD68",4.36393840938788e-181,2.02608773913601,0.71,0.114,5.98470513463454e-177,"1","CD68"
"CEBPD",6.45215876974098e-180,2.18033287253389,0.694,0.12,8.84849053682278e-176,"1","CEBPD"
"S100A4",9.52307249739388e-178,1.65044008960889,1,0.771,1.3059941622926e-173,"1","S100A4"
"LGALS3",7.73022971685391e-174,2.2373556318258,0.717,0.142,1.06012370336935e-169,"1","LGALS3"
"AP1S2",6.08494377971663e-173,2.19048726952552,0.767,0.194,8.34489189950339e-169,"1","AP1S2"
"NPC2",3.65074362683003e-172,2.10638567222145,0.879,0.316,5.0066298098347e-168,"1","NPC2"
"OAZ1",7.59187940578423e-170,1.41573423441524,0.996,0.893,1.04115034170925e-165,"1","OAZ1"
"CDA",5.25426256071536e-168,2.06035380565771,0.544,0.058,7.20569567576505e-164,"1","CDA"
"S100A11",5.31093320720235e-167,1.85515500325915,0.95,0.432,7.28341380035731e-163,"1","S100A11"
"PSAP",1.1565662944334e-166,1.89352052975662,0.923,0.418,1.58611501618597e-162,"1","PSAP"
"SAT1",1.04610970287719e-162,1.89134305528469,0.967,0.507,1.43463484652577e-158,"1","SAT1"
"NCF2",4.01136881570502e-162,2.05024282807408,0.59,0.084,5.50119119385786e-158,"1","NCF2"
"CFP",4.88234958455522e-162,1.93996886879317,0.648,0.11,6.69565422025903e-158,"1","CFP"
"CSF3R",7.4591962687667e-157,1.8645688451217,0.462,0.039,1.02295417629867e-152,"1","CSF3R"
"BLVRB",3.62843531877495e-156,1.9022596100505,0.552,0.075,4.97603619616796e-152,"1","BLVRB"
"COTL1",1.17056339721789e-155,1.65215691963512,0.973,0.553,1.60531064294461e-151,"1","COTL1"
"SERPINA1",1.45646893849628e-155,1.82720901378639,0.713,0.143,1.99740150225381e-151,"1","SERPINA1"
"ASGR1",5.92726913411282e-151,1.72623897817037,0.371,0.015,8.12865689052233e-147,"1","ASGR1"
"NUP214",3.68494467934565e-150,1.80605481533586,0.515,0.062,5.05353313325463e-146,"1","NUP214"
"GABARAP",1.3614086675126e-146,1.78004146158186,0.875,0.404,1.86703584662679e-142,"1","GABARAP"
"ALDH2",1.57263729124609e-146,1.77822222484512,0.442,0.038,2.15671478121488e-142,"1","ALDH2"
"FCGRT",1.2549190318123e-144,2.01491806513746,0.652,0.14,1.72099596022739e-140,"1","FCGRT"
"IFI30",4.16470499880673e-143,1.66225833163012,0.556,0.079,5.71147643536355e-139,"1","IFI30"
"CYBA",6.95816183047894e-142,1.28483368665227,0.99,0.816,9.54242313431882e-138,"1","CYBA"
"FPR1",3.44754760588576e-140,1.78401639668585,0.427,0.038,4.72796678671174e-136,"1","FPR1"
"FOLR3",3.09869452911158e-139,1.66088142881736,0.3,0.004,4.24954967722362e-135,"1","FOLR3"
"PYCARD",4.02934416876364e-137,1.64948234047103,0.808,0.274,5.52584259304246e-133,"1","PYCARD"
"TKT",4.32617881922592e-137,1.78531643649056,0.781,0.256,5.93292163268642e-133,"1","TKT"
"SPI1",2.08804458133004e-134,1.70616323273418,0.631,0.121,2.86354433883601e-130,"1","SPI1"
"RAC1",4.32539175264789e-130,1.70531849541008,0.852,0.348,5.93184224958132e-126,"1","RAC1"
"TSPO",6.95392982178212e-128,1.77517615142118,0.848,0.396,9.53661935759201e-124,"1","TSPO"
"SLC7A7",5.78382125775845e-126,1.65143014841551,0.471,0.063,7.93193247288993e-122,"1","SLC7A7"
"RBP7",3.04573043908972e-125,1.6517006860907,0.312,0.013,4.17691472416764e-121,"1","RBP7"
"BRI3",9.13444661913425e-124,1.65200779443987,0.588,0.12,1.25269800934807e-119,"1","BRI3"
"S100A12",1.62590288735366e-121,1.85860409556036,0.277,0.006,2.22976321971681e-117,"1","S100A12"
"TNFSF13B",1.45611022103191e-120,1.92102432039775,0.506,0.086,1.99690955712316e-116,"1","TNFSF13B"
"IGSF6",3.77498700982578e-118,1.59905409269569,0.402,0.044,5.17701718527507e-114,"1","IGSF6"
"IFITM3",8.46707458843993e-118,1.70866511985401,0.623,0.138,1.16117460905865e-113,"1","IFITM3"
"RNF130",2.25534677834298e-115,1.66554986684369,0.527,0.103,3.09298257181956e-111,"1","RNF130"
"GAPDH",3.31274239896082e-114,1.26432043312813,0.969,0.825,4.54309492593487e-110,"1","GAPDH"
"TALDO1",4.69850855794381e-114,1.5212142547165,0.756,0.285,6.44353463636414e-110,"1","TALDO1"
"VCAN",2.3894461934001e-113,1.47501092678995,0.371,0.036,3.2768865096289e-109,"1","VCAN"
"BST1",2.58701355822947e-112,1.33801975190091,0.317,0.02,3.5478303937559e-108,"1","BST1"
"MNDA",1.83101116510853e-109,1.53816243053418,0.425,0.06,2.51104871182984e-105,"1","MNDA"
"PLBD1",2.05183391533385e-109,1.64589769348538,0.344,0.031,2.81388503148884e-105,"1","PLBD1"
"APOBEC3A",5.10249436258027e-107,1.84982236198224,0.421,0.06,6.99756076884258e-103,"1","APOBEC3A"
"CTSB",1.22702563130406e-99,1.65015104636139,0.531,0.127,1.68274295077039e-95,"1","CTSB"
"CTSH",1.75097996427955e-99,1.46936815672497,0.5,0.106,2.40129392301297e-95,"1","CTSH"
"IFI6",2.07431989629422e-99,1.56580167286934,0.773,0.321,2.8447223057779e-95,"1","IFI6"
"NEAT1",7.1711336089771e-98,1.31557458779657,0.917,0.578,9.8344926313512e-94,"1","NEAT1"
"CPVL",1.17975282000742e-97,1.53627087186654,0.385,0.056,1.61791301735818e-93,"1","CPVL"
"ODF3B",4.33517313070206e-95,1.46872062876366,0.394,0.061,5.9452564314448e-91,"1","ODF3B"
"AP2S1",2.21837453794194e-94,1.49922698002,0.702,0.276,3.04227884133357e-90,"1","AP2S1"
"TGFBI",1.36546113657321e-90,1.28125755355634,0.36,0.051,1.8725934026965e-86,"1","TGFBI"
"SMCO4",2.25547368812579e-89,1.38488287715698,0.356,0.05,3.09315661589571e-85,"1","SMCO4"
"LILRA5",3.56170217310377e-89,1.30195759372826,0.385,0.061,4.88451836019451e-85,"1","LILRA5"
"TMEM176B",3.62038048413447e-87,1.21929141613007,0.267,0.021,4.96498979594201e-83,"1","TMEM176B"
"SH3BGRL3",9.28703945560723e-86,0.864179781548061,0.973,0.833,1.27362459094198e-81,"1","SH3BGRL3"
"HLA-DRA",6.60359583868937e-85,0.812098120362126,0.942,0.475,9.0561713331786e-81,"1","HLA-DRA"
"CD33",7.36964929692894e-85,1.21782999196556,0.281,0.027,1.01067370458084e-80,"1","CD33"
"RAB32",1.73548675647668e-84,1.32441225051864,0.308,0.037,2.38004653783212e-80,"1","RAB32"
"ARPC1B",2.69476312106159e-80,1.0983034628039,0.927,0.708,3.69559814422386e-76,"1","ARPC1B"
"C1orf162",5.43892608722745e-79,1.25930304340771,0.738,0.311,7.45894323602373e-75,"1","C1orf162"
"TMSB10",1.18029486418008e-78,0.569488390219694,1,0.992,1.61865637673656e-74,"1","TMSB10"
"ANXA2",1.8610557757689e-78,1.31065853611437,0.76,0.366,2.55225189088947e-74,"1","ANXA2"
"STX11",4.49295525655082e-78,1.42468001029787,0.394,0.076,6.16163883883379e-74,"1","STX11"
"IL8",5.32867196493879e-78,1.93132131138067,0.277,0.031,7.30774073271706e-74,"1","IL8"
"CAPG",7.50838397773253e-77,1.32495551203881,0.54,0.165,1.02969977870624e-72,"1","CAPG"
"RGS2",2.08888997560143e-76,1.41814295603265,0.6,0.206,2.8647037125398e-72,"1","RGS2"
"PLAUR",7.27107440713947e-75,1.2796193454857,0.36,0.067,9.97155144195107e-71,"1","PLAUR"
"CEBPB",8.43982474375325e-75,1.25949131152258,0.665,0.248,1.15743756535832e-70,"1","CEBPB"
"VIM",1.06962971912804e-74,1.09403964476252,0.923,0.774,1.4668901968122e-70,"1","VIM"
"SRGN",1.8677788024559e-74,1.04518971069798,0.873,0.538,2.56147184968802e-70,"1","SRGN"
"LY86",2.58640439172241e-74,1.31001758425776,0.485,0.127,3.54699498280811e-70,"1","LY86"
"KLF4",3.76685124019987e-74,1.30978513475963,0.36,0.067,5.1658597908101e-70,"1","KLF4"
"AGTRAP",3.69671258110211e-73,1.25868301035171,0.415,0.095,5.06967163372343e-69,"1","AGTRAP"
"ATP6V0B",4.81674248979051e-72,1.54285343854557,0.65,0.268,6.60568065049871e-68,"1","ATP6V0B"
"CCL3",4.34550378324244e-71,2.00023146570447,0.39,0.085,5.95942388833868e-67,"1","CCL3"
