"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNRPB1",0.00668997081999392,0.36008903475101,0.403,0.344,1,"6","SNRPB"
"MBNL1",0.00676198688321959,0.373201170184687,0.292,0.214,1,"6","MBNL1"
"GADD45B1",0.00711076387747564,0.511129301238987,0.306,0.233,1,"6","GADD45B"
"DNAJA1",0.00734926257760314,0.3326895779089,0.361,0.293,1,"6","DNAJA1"
"CSK1",0.00749847726924648,0.78288527782568,0.285,0.216,1,"6","CSK"
"HNRNPK2",0.00805346007414965,0.275702743930222,0.549,0.494,1,"6","HNRNPK"
"SRP14",0.00823459889161729,0.292972625062081,0.771,0.783,1,"6","SRP14"
"FAM96B",0.00825605376884297,0.943838710661753,0.326,0.259,1,"6","FAM96B"
"TAPSAR1",0.00831881795233598,0.41021848778351,0.299,0.229,1,"6","TAPSAR1"
"MDH1",0.00848960942650391,0.405390905282818,0.306,0.233,1,"6","MDH1"
"NDUFA1",0.00861977593191701,0.373548801046205,0.396,0.329,1,"6","NDUFA1"
"TECR1",0.0089381787765428,0.552909904698778,0.271,0.207,1,"6","TECR"
"SELK1",0.00966547031660972,0.279408267681505,0.368,0.289,1,"6","SELK"
"FCER1A",1.48076404741146e-220,3.8711506362036,0.812,0.011,2.03071981462008e-216,"7","FCER1A"
"SERPINF1",1.45626072867292e-207,1.71638443183411,0.5,0.002,1.99711596330204e-203,"7","SERPINF1"
"CLEC10A",3.01941114436494e-138,2.49235080294079,0.688,0.015,4.14082044338208e-134,"7","CLEC10A"
"ENHO",6.94478794560157e-134,1.48761726613174,0.438,0.005,9.52408218859799e-130,"7","ENHO"
